Autostrada, Station ,Zählstellenname,Zählstellen-nummer,Abschnitt (von - bis),Richtung,Fahrzeugklasse,DTVMS Mo-So Kfz/24h,DTVMS Mo-Fr Kfz/24h,DTVMS Mo Kfz/24h,DTVDD Di-So Kfz/24h,DTVFR Fr Kfz/24h,DTVSA Kfz/24h,DTVSF Sonn- und Feiertage Kfz/24h,Datengüte
A02,158.9,Pirching An Der Raab,373,Gleisdorf West - Gleisdorf Süd,Wien/Kn. Inzersdorf,Kfz,21.947,24.407,23.867,24.397,24.76,18.471,15.653,"96,8% Tage geschätzt"
A02,158.9,Pirching An Der Raab,373,Gleisdorf West - Gleisdorf Süd,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG",2.878,3.888,3.592,4.085,3.551,1.343,369.0,Messung
A02,158.9,Pirching An Der Raab,373,Gleisdorf West - Gleisdorf Süd,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG",19.069,20.519,20.275,20.312,21.209,17.128,15.284,"96,8% Tage geschätzt"
A02,158.9,Pirching An Der Raab,373,gesamt,gesamt,Kfz,43.974,49.385,48.987,49.789,48.576,35.39,30.759,"96,8% Tage geschätzt"
A02,158.9,Pirching An Der Raab,373,gesamt,gesamt,"Kfz > 3,5t hzG",5.771,7.886,8.568,8.35,6.269,2.241,724.0,Messung
A02,158.9,Pirching An Der Raab,373,gesamt,gesamt,"Kfz <= 3,5t hzG",38.203,41.499,40.419,41.439,42.307,33.149,30.035,"96,8% Tage geschätzt"
A02,169.9,ASt Laßnitzhöhe,858,Laßnitzhöhe - Kn. Graz Ost,Staatsgrenze Arnoldstein,Kfz,25.977,29.528,30.427,29.675,28.606,20.85,16.967,Messung
A02,169.9,ASt Laßnitzhöhe,858,Laßnitzhöhe - Kn. Graz Ost,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG",3.155,4.342,5.4,4.615,2.997,985.0,449.0,Messung
A02,169.9,ASt Laßnitzhöhe,858,Laßnitzhöhe - Kn. Graz Ost,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG",22.822,25.186,25.027,25.06,25.609,19.865,16.518,Messung
A02,169.9,ASt Laßnitzhöhe,858,Kn. Graz Ost - Laßnitzhöhe,Wien/Kn. Inzersdorf,Kfz,27.665,31.325,30.721,31.314,31.718,22.966,17.986,Messung
A02,169.9,ASt Laßnitzhöhe,858,Kn. Graz Ost - Laßnitzhöhe,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG",3.176,4.278,4.046,4.484,3.88,1.45,468.0,Messung
A02,169.9,ASt Laßnitzhöhe,858,Kn. Graz Ost - Laßnitzhöhe,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG",24.489,27.047,26.675,26.83,27.838,21.516,17.518,Messung
A02,169.9,ASt Laßnitzhöhe,858,gesamt,gesamt,Kfz,53.642,60.853,61.148,60.989,60.324,43.816,34.953,Messung
A02,169.9,ASt Laßnitzhöhe,858,gesamt,gesamt,"Kfz > 3,5t hzG",6.331,8.62,9.446,9.099,6.877,2.435,917.0,Messung
A02,169.9,ASt Laßnitzhöhe,858,gesamt,gesamt,"Kfz <= 3,5t hzG",47.311,52.233,51.702,51.89,53.447,41.381,34.036,Messung
A02,182.5,Feldkirchen,480,Kn. Graz Ost - Graz Feldkirchen FH,Staatsgrenze Arnoldstein,Kfz,32.308,37.815,38.372,38.176,36.543,24.333,18.347,Messung
A02,182.5,Feldkirchen,480,Kn. Graz Ost - Graz Feldkirchen FH,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG",3.237,4.478,5.574,4.751,3.111,960.0,413.0,Messung
A02,182.5,Feldkirchen,480,Kn. Graz Ost - Graz Feldkirchen FH,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG",29.071,33.337,32.798,33.425,33.432,23.373,17.934,Messung
A02,182.5,Feldkirchen,480,Graz Feldkirchen FH - Kn. Graz Ost,Wien/Kn. Inzersdorf,Kfz,31.785,36.606,36.624,36.93,35.753,24.054,20.065,Messung
A02,182.5,Feldkirchen,480,Graz Feldkirchen FH - Kn. Graz Ost,Wien/Kn. Inzersdorf,"Kfz > 3,5t hzG",3.211,4.351,4.15,4.564,3.916,1.416,419.0,Messung
A02,182.5,Feldkirchen,480,Graz Feldkirchen FH - Kn. Graz Ost,Wien/Kn. Inzersdorf,"Kfz <= 3,5t hzG",28.574,32.255,32.474,32.366,31.837,22.638,19.646,Messung
A02,182.5,Feldkirchen,480,gesamt,gesamt,Kfz,64.093,74.421,74.996,75.106,72.296,48.387,38.412,Messung
A02,182.5,Feldkirchen,480,gesamt,gesamt,"Kfz > 3,5t hzG",6.448,8.829,9.724,9.315,7.027,2.376,832.0,Messung
A02,182.5,Feldkirchen,480,gesamt,gesamt,"Kfz <= 3,5t hzG",57.645,65.592,65.272,65.791,65.269,46.011,37.58,Messung
A02,183.9,ASt Flughafen Graz,877,Graz Feldkirchen FH - Kn. Graz West,Staatsgrenze Arnoldstein,Kfz,31.171,36.175,36.509,36.409,35.365,24.36,18.2,Messung
A02,183.9,ASt Flughafen Graz,877,Graz Feldkirchen FH - Kn. Graz West,Staatsgrenze Arnoldstein,"Kfz > 3,5t hzG",3.013,4.168,5.252,4.441,2.807,919.0,365.0,Messung
A02,183.9,ASt Flughafen Graz,877,Graz Feldkirchen FH - Kn. Graz West,Staatsgrenze Arnoldstein,"Kfz <= 3,5t hzG",28.158,32.007,31.257,31.968,32.558,23.441,17.835,Messung
