Autostrada, Station ,Zählstellenname,Zählstellen-nummer,Abschnitt (von - bis),Richtung,Fahrzeugklasse,DTVMS Mo-So Kfz/24h,DTVMS Mo-Fr Kfz/24h,DTVMS Mo Kfz/24h,DTVDD Di-So Kfz/24h,DTVFR Fr Kfz/24h,DTVSA Kfz/24h,DTVSF Sonn- und Feiertage Kfz/24h,Datengüte,
A01, 44.3 ,Sichelbach,403,Böheimkirchen - St. Christophen,Wien/Auhof,Kfz,-1,-1,-1,-1,-1,-1,-1,Ausfall,
A01, 44.3 ,Sichelbach,403,Böheimkirchen - St. Christophen,Wien/Auhof,"Kfz > 3,5t hzG","3,952","5,280","4,435","5,503","5,206","2,258",432,Messung,
A01, 44.3 ,Sichelbach,403,Böheimkirchen - St. Christophen,Wien/Auhof,"Kfz <= 3,5t hzG",-1,-1,-1,-1,-1,-1,-1,Ausfall,
A01, 44.3 ,Sichelbach,403,gesamt,gesamt,Kfz,-1,-1,-1,-1,-1,-1,-1,Ausfall,
A01, 44.3 ,Sichelbach,403,gesamt,gesamt,"Kfz > 3,5t hzG","7,953","10,714","11,926","11,111","8,954","3,755","1,084",Messung,
A01, 44.3 ,Sichelbach,403,gesamt,gesamt,"Kfz <= 3,5t hzG",-1,-1,-1,-1,-1,-1,-1,Ausfall,
A01, 50.3 ,St. Pölten/A1,409,Böheimkirchen - Kn. St. Pölten,Staatsgrenze Walserberg,Kfz,"33,887","33,371","32,983","32,764","35,182","34,916","35,009","51,6% Tage geschätzt",
A01, 50.3 ,St. Pölten/A1,409,Böheimkirchen - Kn. St. Pölten,Staatsgrenze Walserberg,"Kfz > 3,5t hzG","4,003","5,437","7,440","5,623","3,752","1,537",629,Messung,
A01, 50.3 ,St. Pölten/A1,409,Böheimkirchen - Kn. St. Pölten,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG","29,884","27,934","25,543","27,141","31,430","33,379","34,380","51,6% Tage geschätzt",
A01, 50.3 ,St. Pölten/A1,409,Kn. St. Pölten - Böheimkirchen,Wien/Auhof,Kfz,"29,633","31,966","28,487","31,663","34,843","28,304","22,354","51,6% Tage geschätzt",
A01, 50.3 ,St. Pölten/A1,409,Kn. St. Pölten - Böheimkirchen,Wien/Auhof,"Kfz > 3,5t hzG","3,957","5,288","4,439","5,522","5,190","2,256",433,Messung,
A01, 50.3 ,St. Pölten/A1,409,Kn. St. Pölten - Böheimkirchen,Wien/Auhof,"Kfz <= 3,5t hzG","25,676","26,678","24,048","26,141","29,653","26,048","21,921","51,6% Tage geschätzt",
A01, 50.3 ,St. Pölten/A1,409,gesamt,gesamt,Kfz,"63,520","65,337","61,470","64,427","70,025","63,220","57,363","51,6% Tage geschätzt",
A01, 50.3 ,St. Pölten/A1,409,gesamt,gesamt,"Kfz > 3,5t hzG","7,960","10,725","11,879","11,145","8,942","3,793","1,062",Messung,
A01, 50.3 ,St. Pölten/A1,409,gesamt,gesamt,"Kfz <= 3,5t hzG","55,560","54,612","49,591","53,282","61,083","59,427","56,301","51,6% Tage geschätzt",
A01, 56.5 ,St. Pölten Süd/A1,415,Kn. St. Pölten - St. Pölten Süd,Staatsgrenze Walserberg,Kfz,"38,683","38,486","38,569","37,803","40,214","39,680","38,709","22,6% Tage geschätzt",
A01, 56.5 ,St. Pölten Süd/A1,415,Kn. St. Pölten - St. Pölten Süd,Staatsgrenze Walserberg,"Kfz > 3,5t hzG","4,857","6,648","8,927","6,913","4,590","1,708",687,Messung,
