Autostrada, Station ,Zählstellenname,Zählstellen-nummer,Abschnitt (von - bis),Richtung,Fahrzeugklasse,DTVMS Mo-So Kfz/24h,DTVMS Mo-Fr Kfz/24h,DTVMS Mo Kfz/24h,DTVDD Di-So Kfz/24h,DTVFR Fr Kfz/24h,DTVSA Kfz/24h,DTVSF Sonn- und Feiertage Kfz/24h,Datengüte
A05,53.6,Drasenhofen,4,gesamt,gesamt,"Kfz <= 3,5t hzG",7.358,6.153,5.546,5.661,7.794,10.985,9.165,Messung
A06,4.1,Potzneusiedl,756,Kn. Bruckneudorf - Potzneusiedl,Staatsgrenze Kittsee,Kfz,10.329,11.281,9.486,10.876,13.412,10.376,6.963,"51,6% Tage geschätzt"
A06,4.1,Potzneusiedl,756,Kn. Bruckneudorf - Potzneusiedl,Staatsgrenze Kittsee,"Kfz > 3,5t hzG",1.35,1.843,1.682,1.899,1.794,530.0,171.0,Messung
A06,4.1,Potzneusiedl,756,Kn. Bruckneudorf - Potzneusiedl,Staatsgrenze Kittsee,"Kfz <= 3,5t hzG",8.979,9.438,7.804,8.977,11.618,9.846,6.792,"51,6% Tage geschätzt"
A06,4.1,Potzneusiedl,756,Potzneusiedl - Kn. Bruckneudorf,Kn. Bruckneudorf,Kfz,11.226,11.405,13.529,11.385,10.185,10.161,11.306,"51,6% Tage geschätzt"
A06,4.1,Potzneusiedl,756,Potzneusiedl - Kn. Bruckneudorf,Kn. Bruckneudorf,"Kfz > 3,5t hzG",1.415,1.973,2.743,2.049,1.316,310.0,200.0,Messung
A06,4.1,Potzneusiedl,756,Potzneusiedl - Kn. Bruckneudorf,Kn. Bruckneudorf,"Kfz <= 3,5t hzG",9.811,9.432,10.786,9.336,8.869,9.851,11.106,"51,6% Tage geschätzt"
A06,4.1,Potzneusiedl,756,gesamt,gesamt,Kfz,21.555,22.686,23.015,22.261,23.597,20.537,18.269,"51,6% Tage geschätzt"
A06,4.1,Potzneusiedl,756,gesamt,gesamt,"Kfz > 3,5t hzG",2.765,3.816,4.425,3.948,3.11,840.0,371.0,Messung
A06,4.1,Potzneusiedl,756,gesamt,gesamt,"Kfz <= 3,5t hzG",18.79,18.87,18.59,18.313,20.487,19.697,17.898,"51,6% Tage geschätzt"
A06,21.0,Kittsee/A,762,Kittsee - Staatsgrenze Kittsee,Staatsgrenze Kittsee,Kfz,9.064,9.947,8.081,9.477,12.288,8.97,6.038,"48,4% Tage geschätzt"
A06,21.0,Kittsee/A,762,Kittsee - Staatsgrenze Kittsee,Staatsgrenze Kittsee,"Kfz > 3,5t hzG",1.263,1.72,1.511,1.76,1.739,513.0,163.0,Messung
A06,21.0,Kittsee/A,762,Kittsee - Staatsgrenze Kittsee,Staatsgrenze Kittsee,"Kfz <= 3,5t hzG",7.801,8.227,6.57,7.717,10.549,8.457,5.875,"48,4% Tage geschätzt"
A06,21.0,Kittsee/A,762,Staatsgrenze Kittsee - Kittsee,Kn. Bruckneudorf,Kfz,9.656,9.78,11.782,9.646,8.928,8.773,9.811,"45,2% Tage geschätzt"
A06,21.0,Kittsee/A,762,Staatsgrenze Kittsee - Kittsee,Kn. Bruckneudorf,"Kfz > 3,5t hzG",1.328,1.845,2.675,1.906,1.19,295.0,208.0,Messung
A06,21.0,Kittsee/A,762,Staatsgrenze Kittsee - Kittsee,Kn. Bruckneudorf,"Kfz <= 3,5t hzG",8.328,7.935,9.107,7.74,7.738,8.478,9.603,"45,2% Tage geschätzt"
A06,21.0,Kittsee/A,762,gesamt,gesamt,Kfz,18.72,19.727,19.863,19.123,21.216,17.743,15.849,"48,4% Tage geschätzt"
A06,21.0,Kittsee/A,762,gesamt,gesamt,"Kfz > 3,5t hzG",2.591,3.565,4.186,3.666,2.929,808.0,371.0,Messung
A06,21.0,Kittsee/A,762,gesamt,gesamt,"Kfz <= 3,5t hzG",16.129,16.162,15.677,15.457,18.287,16.935,15.478,"48,4% Tage geschätzt"
A07,1.9,ASt Franzosenhausweg,649,Kn. Linz - Franzosenhausweg,Unterweitersdorf,Kfz,36.04,40.616,41.465,40.553,40.271,30.696,23.586,Messung
A07,1.9,ASt Franzosenhausweg,649,Kn. Linz - Franzosenhausweg,Unterweitersdorf,"Kfz > 3,5t hzG",2.154,3.012,3.23,3.152,2.52,517.0,242.0,Messung
A07,1.9,ASt Franzosenhausweg,649,Kn. Linz - Franzosenhausweg,Unterweitersdorf,"Kfz <= 3,5t hzG",33.886,37.604,38.235,37.401,37.751,30.179,23.344,Messung
A07,1.9,ASt Franzosenhausweg,649,Franzosenhausweg - Kn. Linz,Kn. Linz,Kfz,39.9,45.686,46.485,45.74,45.067,33.652,23.812,"3,2% Tage geschätzt"
A07,1.9,ASt Franzosenhausweg,649,Franzosenhausweg - Kn. Linz,Kn. Linz,"Kfz > 3,5t hzG",2.275,3.188,3.675,3.344,2.488,495.0,266.0,Messung
A07,1.9,ASt Franzosenhausweg,649,Franzosenhausweg - Kn. Linz,Kn. Linz,"Kfz <= 3,5t hzG",37.625,42.498,42.81,42.396,42.579,33.157,23.546,"3,2% Tage geschätzt"
A07,1.9,ASt Franzosenhausweg,649,gesamt,gesamt,Kfz,75.94,86.302,87.95,86.293,85.338,64.348,47.398,"3,2% Tage geschätzt"
A07,1.9,ASt Franzosenhausweg,649,gesamt,gesamt,"Kfz > 3,5t hzG",4.429,6.2,6.905,6.496,5.008,1.012,508.0,Messung
A07,1.9,ASt Franzosenhausweg,649,gesamt,gesamt,"Kfz <= 3,5t hzG",71.511,80.102,81.045,79.797,80.33,63.336,46.89,"3,2% Tage geschätzt"
A07,4.7,Bindermichl,282,Linz Salzburger Str. - Muldenstraße,Unterweitersdorf,Kfz,44.206,50.369,51.328,50.542,49.346,36.267,27.925,Messung
A07,4.7,Bindermichl,282,Linz Salzburger Str. - Muldenstraße,Unterweitersdorf,"Kfz > 3,5t hzG",2.155,3.022,3.215,3.174,2.51,493.0,228.0,Messung
A07,4.7,Bindermichl,282,Linz Salzburger Str. - Muldenstraße,Unterweitersdorf,"Kfz <= 3,5t hzG",42.051,47.347,48.113,47.368,46.836,35.774,27.697,Messung
A07,4.7,Bindermichl,282,Muldenstraße - Linz Salzburger Str.,Kn. Linz,Kfz,44.62,51.0,52.162,50.971,50.379,37.704,26.9,"6,5% Tage geschätzt"
A07,4.7,Bindermichl,282,Muldenstraße - Linz Salzburger Str.,Kn. Linz,"Kfz > 3,5t hzG",2.192,3.079,3.562,3.246,2.355,459.0,243.0,Messung
A07,4.7,Bindermichl,282,Muldenstraße - Linz Salzburger Str.,Kn. Linz,"Kfz <= 3,5t hzG",42.428,47.921,48.6,47.725,48.024,37.245,26.657,"6,5% Tage geschätzt"
A07,4.7,Bindermichl,282,gesamt,gesamt,Kfz,88.826,101.369,103.49,101.513,99.725,73.971,54.825,"6,5% Tage geschätzt"
A07,4.7,Bindermichl,282,gesamt,gesamt,"Kfz > 3,5t hzG",4.347,6.101,6.777,6.42,4.865,952.0,471.0,Messung
A07,4.7,Bindermichl,282,gesamt,gesamt,"Kfz <= 3,5t hzG",84.479,95.268,96.713,95.093,94.86,73.019,54.354,"6,5% Tage geschätzt"
A07,6.4,Tunnel Niedernhart,300,Linz-Hummelhof - Wiener Straße,Unterweitersdorf,Kfz,47.172,53.559,55.996,53.44,52.405,38.918,30.324,Messung
A07,6.4,Tunnel Niedernhart,300,Linz-Hummelhof - Wiener Straße,Unterweitersdorf,"Kfz > 3,5t hzG",2.206,3.1,3.294,3.259,2.572,487.0,222.0,Messung
A07,6.4,Tunnel Niedernhart,300,Linz-Hummelhof - Wiener Straße,Unterweitersdorf,"Kfz <= 3,5t hzG",44.966,50.459,52.702,50.181,49.833,38.431,30.102,Messung
A07,6.4,Tunnel Niedernhart,300,Wiener Straße - Linz-Hummelhof,Kn. Linz,Kfz,40.318,46.201,47.858,46.028,45.657,33.996,23.944,"3,2% Tage geschätzt"
A07,6.4,Tunnel Niedernhart,300,Wiener Straße - Linz-Hummelhof,Kn. Linz,"Kfz > 3,5t hzG",2.207,3.102,3.59,3.272,2.369,461.0,236.0,Messung
A07,6.4,Tunnel Niedernhart,300,Wiener Straße - Linz-Hummelhof,Kn. Linz,"Kfz <= 3,5t hzG",38.111,43.099,44.268,42.756,43.288,33.535,23.708,"3,2% Tage geschätzt"
A07,6.4,Tunnel Niedernhart,300,gesamt,gesamt,Kfz,87.49,99.76,103.854,99.468,98.062,72.914,54.268,"3,2% Tage geschätzt"
A07,6.4,Tunnel Niedernhart,300,gesamt,gesamt,"Kfz > 3,5t hzG",4.413,6.202,6.884,6.531,4.941,948.0,458.0,Messung
A07,6.4,Tunnel Niedernhart,300,gesamt,gesamt,"Kfz <= 3,5t hzG",83.077,93.558,96.97,92.937,93.121,71.966,53.81,"3,2% Tage geschätzt"
A07,7.9,ASt Wiener Straße,334,Linz Wiener Straße - Linz VOEST,Unterweitersdorf,Kfz,38.991,45.342,47.169,45.602,43.571,30.524,22.404,Messung
A07,7.9,ASt Wiener Straße,334,Linz Wiener Straße - Linz VOEST,Unterweitersdorf,"Kfz > 3,5t hzG",2.242,3.153,3.365,3.31,2.62,484.0,224.0,Messung
A07,7.9,ASt Wiener Straße,334,Linz Wiener Straße - Linz VOEST,Unterweitersdorf,"Kfz <= 3,5t hzG",36.749,42.189,43.804,42.292,40.951,30.04,22.18,Messung
A07,7.9,ASt Wiener Straße,334,Linz VOEST - Linz Wiener Straße,Kn. Linz,Kfz,36.824,42.873,43.787,43.167,41.558,28.916,20.928,Messung
A07,7.9,ASt Wiener Straße,334,Linz VOEST - Linz Wiener Straße,Kn. Linz,"Kfz > 3,5t hzG",2.184,3.077,3.572,3.247,2.339,426.0,231.0,Messung
A07,7.9,ASt Wiener Straße,334,Linz VOEST - Linz Wiener Straße,Kn. Linz,"Kfz <= 3,5t hzG",34.64,39.796,40.215,39.92,39.219,28.49,20.697,Messung
A07,7.9,ASt Wiener Straße,334,gesamt,gesamt,Kfz,75.815,88.215,90.956,88.769,85.129,59.44,43.332,Messung
A07,7.9,ASt Wiener Straße,334,gesamt,gesamt,"Kfz > 3,5t hzG",4.426,6.23,6.937,6.557,4.959,910.0,455.0,Messung
A07,7.9,ASt Wiener Straße,334,gesamt,gesamt,"Kfz <= 3,5t hzG",71.389,81.985,84.019,82.212,80.17,58.53,42.877,Messung
A07,10.3,Prinz Eugenstraße,657,Linz Prinz Eugenstr. - Linz Hafenstraße,Unterweitersdorf,Kfz,31.123,35.66,36.085,35.836,34.947,25.558,18.954,Messung
A07,10.3,Prinz Eugenstraße,657,Linz Prinz Eugenstr. - Linz Hafenstraße,Unterweitersdorf,"Kfz > 3,5t hzG",1.418,1.974,2.05,2.068,1.682,378.0,168.0,Messung
A07,10.3,Prinz Eugenstraße,657,Linz Prinz Eugenstr. - Linz Hafenstraße,Unterweitersdorf,"Kfz <= 3,5t hzG",29.705,33.686,34.035,33.768,33.265,25.18,18.786,Messung
A07,10.3,Prinz Eugenstraße,657,Linz Hafenstraße - Linz Prinz Eugenstr.,Kn. Linz,Kfz,31.079,35.431,35.962,35.763,34.248,25.46,19.595,Messung
A07,10.3,Prinz Eugenstraße,657,Linz Hafenstraße - Linz Prinz Eugenstr.,Kn. Linz,"Kfz > 3,5t hzG",1.396,1.944,2.297,2.06,1.431,334.0,189.0,Messung
A07,10.3,Prinz Eugenstraße,657,Linz Hafenstraße - Linz Prinz Eugenstr.,Kn. Linz,"Kfz <= 3,5t hzG",29.683,33.487,33.665,33.703,32.817,25.126,19.406,Messung
A07,10.3,Prinz Eugenstraße,657,gesamt,gesamt,Kfz,62.202,71.091,72.047,71.599,69.195,51.018,38.549,Messung
A07,10.3,Prinz Eugenstraße,657,gesamt,gesamt,"Kfz > 3,5t hzG",2.814,3.918,4.347,4.128,3.113,712.0,357.0,Messung
A07,10.3,Prinz Eugenstraße,657,gesamt,gesamt,"Kfz <= 3,5t hzG",59.388,67.173,67.7,67.471,66.082,50.306,38.192,Messung
A07,13.6,Urfahr-Dornach,675,Linz Urfahr - Linz Dornach,Unterweitersdorf,Kfz,25.268,29.355,29.513,29.587,28.657,20.016,14.464,Messung
A07,13.6,Urfahr-Dornach,675,Linz Urfahr - Linz Dornach,Unterweitersdorf,"Kfz > 3,5t hzG",1.185,1.636,1.663,1.702,1.447,357.0,158.0,Messung
A07,13.6,Urfahr-Dornach,675,Linz Urfahr - Linz Dornach,Unterweitersdorf,"Kfz <= 3,5t hzG",24.083,27.719,27.85,27.885,27.21,19.659,14.306,Messung
A07,13.6,Urfahr-Dornach,675,Linz Dornach - Linz Urfahr,Kn. Linz,Kfz,27.375,31.537,31.177,32.069,30.369,21.335,16.833,Messung
A07,13.6,Urfahr-Dornach,675,Linz Dornach - Linz Urfahr,Kn. Linz,"Kfz > 3,5t hzG",1.199,1.659,1.984,1.755,1.212,316.0,178.0,Messung
A07,13.6,Urfahr-Dornach,675,Linz Dornach - Linz Urfahr,Kn. Linz,"Kfz <= 3,5t hzG",26.176,29.878,29.193,30.314,29.157,21.019,16.655,Messung
